CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/08/2022,12:20,BROOKLYN,11223,40.593292,-73.976685,"(40.593292, -73.976685)",,,102       WOLF PLACE,0,0,0,0,0,0,0,0,Unspecified,,,,,4526030,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,18:56,BRONX,10473,0,0,"(0.0, 0.0)",STORY AVENUE,BOLTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4526096,Sedan,E-Bike,,,
05/08/2022,13:45,QUEENS,11420,40.666573,-73.82016,"(40.666573, -73.82016)",121 STREET,150 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4525926,Sedan,Sedan,,,
05/08/2022,17:15,MANHATTAN,10011,40.742874,-73.99857,"(40.742874, -73.99857)",,,246       WEST 20 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4526435,Sedan,Sedan,,,
05/08/2022,19:30,BROOKLYN,11230,40.619396,-73.969574,"(40.619396, -73.969574)",OCEAN PARKWAY,AVENUE L,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4525991,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,3:29,MANHATTAN,10001,0,0,"(0.0, 0.0)",,,490       8 AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4525689,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,11:58,,,40.81423,-73.93444,"(40.81423, -73.93444)",HARLEM RIVER DRIVE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4526132,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,16:25,,,40.701134,-73.81716,"(40.701134, -73.81716)",135 STREET,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4525824,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,17:25,,,40.654984,-74.00711,"(40.654984, -74.00711)",GOWANUS EXPY (BQE),,,2,0,0,0,0,0,2,0,Unsafe Speed,,,,,4526149,Moped,,,,
05/08/2022,20:30,QUEENS,11414,40.664253,-73.83916,"(40.664253, -73.83916)",156 AVENUE,95 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4525916,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,2:50,MANHATTAN,10010,40.738373,-73.982086,"(40.738373, -73.982086)",,,246       EAST 23 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4526128,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,15:00,BROOKLYN,11207,40.659256,-73.89888,"(40.659256, -73.89888)",,,180       NEW LOTS AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4526017,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,0:05,,,40.66323,-73.93161,"(40.66323, -73.93161)",EAST NEW YORK AVENUE,UTICA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4525610,Sedan,Sedan,,,
05/08/2022,8:40,BROOKLYN,11236,40.652786,-73.91997,"(40.652786, -73.91997)",REMSEN AVENUE,CHURCH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4525796,Sedan,Sedan,,,
05/08/2022,2:34,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,Unspecified,Unspecified,,,4525800,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
05/08/2022,16:44,BROOKLYN,11236,40.636024,-73.89506,"(40.636024, -73.89506)",EAST 95 STREET,AVENUE M,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4526230,Sedan,Sedan,,,
05/08/2022,15:50,BROOKLYN,11210,40.62551,-73.94277,"(40.62551, -73.94277)",,,1241      EAST 34 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4525837,Sedan,Station Wagon/Sport Utility Vehicle,,,
